issn,year,anti_labor,neutral,pro_labor,total_labor,anti_labor_intensity,anti_labor_rr,total_labor_rr
1053-3958,1886,5,5,4,14,0.35714285714285715,0,1
1053-3958,1887,3,13,3,19,0.15789473684210525,1,6
1053-3958,1888,6,13,3,22,0.2727272727272727,3,11
1053-3958,1889,7,16,6,29,0.2413793103448276,1,12
1053-3958,1890,2,8,1,11,0.18181818181818182,2,5
1053-5195,1884,0,0,2,2,0.0,0,0
1053-5195,1885,0,3,0,3,0.0,0,1
1053-5195,1886,7,13,2,22,0.3181818181818182,2,10
1053-5195,1887,4,4,4,12,0.3333333333333333,2,5
1053-5195,1888,6,12,7,25,0.24,0,5
1053-5195,1889,5,8,0,13,0.38461538461538464,1,4
1053-5195,1890,1,4,4,9,0.1111111111111111,0,3
1055-3061,1884,0,0,2,2,0.0,0,0
1060-300X,1882,3,0,3,6,0.5,0,1
1060-300X,1883,5,5,2,12,0.4166666666666667,0,2
1060-300X,1884,2,3,7,12,0.16666666666666666,2,3
1060-300X,1886,11,0,10,21,0.5238095238095238,1,1
1060-300X,1887,5,3,2,10,0.5,2,2
1060-300X,1888,4,16,21,41,0.0975609756097561,0,7
1060-300X,1889,3,4,7,14,0.21428571428571427,2,6
1060-300X,1890,2,0,10,12,0.16666666666666666,1,1
1062-5070,1872,1,0,2,3,0.3333333333333333,0,0
1062-5070,1873,1,0,0,1,1.0,0,0
1062-5070,1874,1,0,0,1,1.0,0,0
1062-5070,1877,3,0,1,4,0.75,1,1
1062-5070,1879,0,0,1,1,0.0,0,0
1062-5070,1882,2,1,1,4,0.5,0,1
1062-5070,1883,2,1,0,3,0.6666666666666666,0,0
1062-5070,1884,0,0,1,1,0.0,0,0
1062-5070,1885,0,0,1,1,0.0,0,0
1062-5070,1886,7,3,1,11,0.6363636363636364,0,0
1062-5070,1887,4,0,3,7,0.5714285714285714,0,0
1062-5070,1888,2,0,2,4,0.5,0,0
1062-5070,1889,1,1,1,3,0.3333333333333333,0,0
1062-5070,1890,4,0,4,8,0.5,0,0
1084-5348,1876,0,1,0,1,0.0,0,0
1084-5348,1877,3,0,3,6,0.5,1,4
1084-5348,1878,3,0,0,3,1.0,1,1
1084-5348,1880,2,1,1,4,0.5,0,0
1084-5348,1881,0,0,2,2,0.0,0,0
1084-5348,1882,2,0,2,4,0.5,0,0
1084-5348,1884,0,1,0,1,0.0,0,0
1084-5348,1885,4,4,1,9,0.4444444444444444,1,3
1084-5348,1886,9,31,2,42,0.21428571428571427,1,7
1084-5348,1887,4,17,2,23,0.17391304347826086,1,7
1084-5348,1888,2,10,2,14,0.14285714285714285,1,5
1541-6720,1869,0,1,0,1,0.0,0,0
1541-6720,1870,1,0,4,5,0.2,0,0
1541-6720,1871,0,0,1,1,0.0,0,0
1541-6720,1872,1,1,1,3,0.3333333333333333,0,0
1541-6720,1873,0,1,0,1,0.0,0,0
