issn,year,anti_labor,neutral,pro_labor,total_labor,anti_labor_intensity,railroad_interest,has_editor,has_publisher,state,year_str,political_affiliation_raw,republican,person_republican,pop_1870,pop_1880,pop_1890,county_pop,log_county_pop
2643-7473,1869,0,2,0,2,0.0,0,1,1,,1869,,,,24436.0,25111.0,23058.0,24436.0,10.103812733769658
2643-7473,1871,2,5,0,7,0.2857142857142857,0,1,1,,1871,,,,24436.0,25111.0,23058.0,24503.5,10.106571243472565
2643-7473,1873,0,3,1,4,0.0,0,1,1,,1873,,,,24436.0,25111.0,23058.0,24638.5,10.112065539171022
2693-5732,1882,49,21,46,116,0.4224137931034483,1,0,1,GEORGIA,1882,Democratic,0.0,0.0,41279.0,45023.0,57740.0,47566.4,10.76988190861432
2693-5732,1883,51,59,33,143,0.35664335664335667,1,0,1,GEORGIA,1883,Democratic,0.0,0.0,41279.0,45023.0,57740.0,48838.1,10.796266024929015
2693-5732,1884,36,71,48,155,0.23225806451612904,1,0,1,GEORGIA,1884,Democratic,0.0,0.0,41279.0,45023.0,57740.0,50109.8,10.821971876726488
2693-5732,1885,69,59,26,154,0.44805194805194803,1,0,1,GEORGIA,1885,Democratic,0.0,0.0,41279.0,45023.0,57740.0,51381.5,10.847033464476734
2693-5767,1890,129,128,37,294,0.4387755102040816,1,0,1,GEORGIA,1890,,,0.0,,,,,
2694-3352,1876,0,0,10,10,0.0,1,1,1,,1876,,,0.0,23085.0,45890.0,139796.0,36768.0,10.512383180648483
2694-3352,1877,12,15,37,64,0.1875,1,1,1,,1877,,,0.0,23085.0,45890.0,139796.0,39048.5,10.572559742238127
2694-3352,1878,11,2,41,54,0.2037037037037037,1,1,1,,1878,,,0.0,23085.0,45890.0,139796.0,41329.0,10.629319711713425
